site,site_dir,somsc_summary,biomass_summary,n2o_summary,somsc_result,biomass_result,n2o_result,n2o_summary_plot_count,n2o_year_summary_plot_count,biomass_livec_plot_count,somsc_spinup_png,somsc_spinup_png_exists,somsc_exp_png,somsc_exp_png_exists,somsc_scatter_png,somsc_scatter_png_exists,biomass_scatter_png,biomass_scatter_png_exists,n2o_scatter_png,n2o_scatter_png_exists
Pandian_2016,assets/Pandian_2016,assets/Pandian_2016/somsc_check/somsc_check_summary.txt,assets/Pandian_2016/biomass_check/biomass_check_summary.txt,assets/Pandian_2016/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: NEEDS INVESTIGATION - Model below observation and/or invalid comparison rows (see Point-wise delta).,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,9,11,assets/Pandian_2016/somsc_check/somsc_timeseries_spinup.png,True,assets/Pandian_2016/somsc_check/somsc_timeseries_exp.png,True,assets/Pandian_2016/somsc_check/observed_vs_modeled_somsc.png,True,assets/Pandian_2016/biomass_check/observed_vs_modeled_biomass.png,True,assets/Pandian_2016/n2o_check/observed_vs_modeled_n2o.png,False
Parihar_2016_reformatted,assets/Parihar_2016_reformatted,assets/Parihar_2016_reformatted/somsc_check/somsc_check_summary.txt,assets/Parihar_2016_reformatted/biomass_check/biomass_check_summary.txt,assets/Parihar_2016_reformatted/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,,0,0,14,assets/Parihar_2016_reformatted/somsc_check/somsc_timeseries_spinup.png,True,assets/Parihar_2016_reformatted/somsc_check/somsc_timeseries_exp.png,True,assets/Parihar_2016_reformatted/somsc_check/observed_vs_modeled_somsc.png,False,assets/Parihar_2016_reformatted/biomass_check/observed_vs_modeled_biomass.png,False,assets/Parihar_2016_reformatted/n2o_check/observed_vs_modeled_n2o.png,False
Parihar_2018_reformatted,assets/Parihar_2018_reformatted,assets/Parihar_2018_reformatted/somsc_check/somsc_check_summary.txt,assets/Parihar_2018_reformatted/biomass_check/biomass_check_summary.txt,assets/Parihar_2018_reformatted/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: OK for Calibration - All points have simulated >= observed (no shortfalls).,12,0,14,assets/Parihar_2018_reformatted/somsc_check/somsc_timeseries_spinup.png,True,assets/Parihar_2018_reformatted/somsc_check/somsc_timeseries_exp.png,True,assets/Parihar_2018_reformatted/somsc_check/observed_vs_modeled_somsc.png,True,assets/Parihar_2018_reformatted/biomass_check/observed_vs_modeled_biomass.png,False,assets/Parihar_2018_reformatted/n2o_check/observed_vs_modeled_n2o.png,True
Pathak_2021,assets/Pathak_2021,assets/Pathak_2021/somsc_check/somsc_check_summary.txt,assets/Pathak_2021/biomass_check/biomass_check_summary.txt,assets/Pathak_2021/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,1,3,assets/Pathak_2021/somsc_check/somsc_timeseries_spinup.png,True,assets/Pathak_2021/somsc_check/somsc_timeseries_exp.png,True,assets/Pathak_2021/somsc_check/observed_vs_modeled_somsc.png,True,assets/Pathak_2021/biomass_check/observed_vs_modeled_biomass.png,False,assets/Pathak_2021/n2o_check/observed_vs_modeled_n2o.png,False
Peng_peng_2019_reformatted,assets/Peng_peng_2019_reformatted,assets/Peng_peng_2019_reformatted/somsc_check/somsc_check_summary.txt,assets/Peng_peng_2019_reformatted/biomass_check/biomass_check_summary.txt,assets/Peng_peng_2019_reformatted/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,6,8,assets/Peng_peng_2019_reformatted/somsc_check/somsc_timeseries_spinup.png,True,assets/Peng_peng_2019_reformatted/somsc_check/somsc_timeseries_exp.png,True,assets/Peng_peng_2019_reformatted/somsc_check/observed_vs_modeled_somsc.png,False,assets/Peng_peng_2019_reformatted/biomass_check/observed_vs_modeled_biomass.png,False,assets/Peng_peng_2019_reformatted/n2o_check/observed_vs_modeled_n2o.png,False
Pooniya_2021,assets/Pooniya_2021,assets/Pooniya_2021/somsc_check/somsc_check_summary.txt,assets/Pooniya_2021/biomass_check/biomass_check_summary.txt,assets/Pooniya_2021/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,9,11,assets/Pooniya_2021/somsc_check/somsc_timeseries_spinup.png,True,assets/Pooniya_2021/somsc_check/somsc_timeseries_exp.png,True,assets/Pooniya_2021/somsc_check/observed_vs_modeled_somsc.png,True,assets/Pooniya_2021/biomass_check/observed_vs_modeled_biomass.png,False,assets/Pooniya_2021/n2o_check/observed_vs_modeled_n2o.png,False
Purakayastha_2008_reformatted,assets/Purakayastha_2008_reformatted,assets/Purakayastha_2008_reformatted/somsc_check/somsc_check_summary.txt,assets/Purakayastha_2008_reformatted/biomass_check/biomass_check_summary.txt,assets/Purakayastha_2008_reformatted/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - No biomass/grain observations in the observation file.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,5,7,assets/Purakayastha_2008_reformatted/somsc_check/somsc_timeseries_spinup.png,True,assets/Purakayastha_2008_reformatted/somsc_check/somsc_timeseries_exp.png,True,assets/Purakayastha_2008_reformatted/somsc_check/observed_vs_modeled_somsc.png,True,assets/Purakayastha_2008_reformatted/biomass_check/observed_vs_modeled_biomass.png,False,assets/Purakayastha_2008_reformatted/n2o_check/observed_vs_modeled_n2o.png,False
Rafique_2012_awagat_reformatted,assets/Rafique_2012_awagat_reformatted,assets/Rafique_2012_awagat_reformatted/somsc_check/somsc_check_summary.txt,assets/Rafique_2012_awagat_reformatted/biomass_check/biomass_check_summary.txt,assets/Rafique_2012_awagat_reformatted/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,,0,0,18,assets/Rafique_2012_awagat_reformatted/somsc_check/somsc_timeseries_spinup.png,True,assets/Rafique_2012_awagat_reformatted/somsc_check/somsc_timeseries_exp.png,True,assets/Rafique_2012_awagat_reformatted/somsc_check/observed_vs_modeled_somsc.png,False,assets/Rafique_2012_awagat_reformatted/biomass_check/observed_vs_modeled_biomass.png,False,assets/Rafique_2012_awagat_reformatted/n2o_check/observed_vs_modeled_n2o.png,False
Rafique_2012_shahpur_reformatted,assets/Rafique_2012_shahpur_reformatted,assets/Rafique_2012_shahpur_reformatted/somsc_check/somsc_check_summary.txt,assets/Rafique_2012_shahpur_reformatted/biomass_check/biomass_check_summary.txt,assets/Rafique_2012_shahpur_reformatted/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,,0,0,18,assets/Rafique_2012_shahpur_reformatted/somsc_check/somsc_timeseries_spinup.png,True,assets/Rafique_2012_shahpur_reformatted/somsc_check/somsc_timeseries_exp.png,True,assets/Rafique_2012_shahpur_reformatted/somsc_check/observed_vs_modeled_somsc.png,False,assets/Rafique_2012_shahpur_reformatted/biomass_check/observed_vs_modeled_biomass.png,False,assets/Rafique_2012_shahpur_reformatted/n2o_check/observed_vs_modeled_n2o.png,False
Ram_2013,assets/Ram_2013,assets/Ram_2013/somsc_check/somsc_check_summary.txt,assets/Ram_2013/biomass_check/biomass_check_summary.txt,assets/Ram_2013/n2o_check/n2o_check_summary.txt,RESULT: OK for Calibration - No major discrepancies found.,RESULT: CANNOT ASSESS - 'averaged_biomass_comparison.csv' was not found.,RESULT: CANNOT ASSESS - No N2O flux observations in the observation file.,0,8,10,assets/Ram_2013/somsc_check/somsc_timeseries_spinup.png,True,assets/Ram_2013/somsc_check/somsc_timeseries_exp.png,True,assets/Ram_2013/somsc_check/observed_vs_modeled_somsc.png,True,assets/Ram_2013/biomass_check/observed_vs_modeled_biomass.png,False,assets/Ram_2013/n2o_check/observed_vs_modeled_n2o.png,False
